Types,avg_2019,avg_2018,avg_2017,avg_2016,avg_2015,avg_2014,avg_2013,avg_2012,avg_2011,avg_2010
"All types",4.794893617021276,4.7893085106383,4.79382978723404,4.822393617021274,4.834414893617025,4.86005319148936,4.889946808510638,4.963191489361703,4.91122340425532,4.88526595744681
Beer,1.9675531914893623,1.967712765957447,1.9628191489361686,1.9678191489361698,1.9663297872340433,1.9678723404255316,1.9596808510638304,1.9509042553191482,1.9547872340425547,1.9156914893617023
Wine,0.9456382978723403,0.9442553191489362,0.953085106382979,0.9556914893617028,0.9389893617021284,0.9316489361702133,0.9357978723404259,0.9829787234042552,0.963776595744681,0.969095744680851
Spirits,1.4283510638297874,1.4197872340425541,1.4219680851063847,1.4387765957446819,1.4590957446808517,1.4785106382978734,1.5089361702127664,1.5440957446808514,1.4925000000000008,1.4955319148936175
"Other alcoholic beverages",0.45148936170212756,0.4571808510638297,0.4552659574468085,0.4586702127659575,0.468723404255319,0.4811702127659576,0.4848936170212765,0.4857978723404256,0.5005851063829786,0.503404255319149
